text,sentiment
Finally  the authors also mention GraphQL queries are more restrictive than SPARQL (page )  but that is actually up to the developer ,negative
Again  GraphQL only specifies the interface/protocol/result-structure (more or less  I'm cutting corners here for simplicity)  not the query itself (that is done on the backend)  which is fundamentally different from SPARQL ,negative
Some other comments- there is no comparison to the state of art  related work is only mentioned- the contributions are light for a research paper ,negative
It is a resources track paper at best ,negative
- I wouldn't say RDBRDF requires an ontology  but responds to a query ,negative
- The example jumps into YARRRML & RML without any prior introduction  which is hard to interpret ,negative
- page   p Normally  a programmer write -> a programmer writesTo conclude  I give this paper a weak reject  allowing the authors to suggest concrete improvements in the rebuttal that convince me ,negative
The area and main ideas are valuable ,positive
As possible ways to extend the material presented  it would be valuable to discuss more in detail what are the requirements on a mapping language/mappings as to able able to compute information and query preservation and how could this be achieved ,negative
Similarly  for the provided translations  although this is discussed informally  formal proofs regarding information/query preservation would be make the paper stronger ,negative
to the translation  a more detailed description of the translation steps would be in order ,negative
As an editorial note  the resolution of figure  is relatively low ,negative
Although readable  a higher resolution image would be better ,negative
The paper is well motivated  structured and written ,positive
In my opinion though does not have a scientific contribution but is a guide as to how one can implement a data integration engine using existing OBDA tools ,negative
Though  this approch solves a relevant problem there are several concerns* Neither the problem nor the mapping solutions are novel ,negative
which is completely ignored ,negative
* Given that the main focus is on enabling query translation the details on the translation/mapping step are only briefly and informally described ,negative
Furthermore  instead of concrete predicate names a more conceptual discussion would be welcome ,negative
* The approach is not evaluated at all - only a use case is briefly described ,negative
In summary  the paper fails to make clear the specific contribution over the state of the art ,negative
Just using some WC recommendations alone does not represent a novel idea ,negative
--- Post rebuttal ---I do in fact read the call for papers and indeed  the authors included 'results' as is encouraged ,positive
The files shared on github show the system in use  but don't tell me anything on for instance - whether the use case selected are useful or represenative?,negative
However  I would warn the authors not to overstate their contribution ,negative
The application domain might be novel  the techniques are not  and the lack of referral to CSV ODBA techniques outside the SemWeb domain does not help ,negative
The necessary solutions to overcome some of CSV's limitations are introduced accordingly and clever ,positive
The paper is very well written and is very understandable ,positive
Although there is not much scientific value  I believe this paper to be of good quality and quite valuable as systems paper ,positive
Some comments though- The motivation for an ODBA based approach over materialized or virtual RDF views could be stronger ,negative
- The issue with treating a CSV file as if it was a single not-normalized relational database table with no keys or integrity constraints is not well explained ,negative
- It is a real shame the authors did not perform any experiments ,negative
- Note that were already proposed together so this cannot be a contribution ,negative
- The comparison between is strange  because they cannot really be compared ,negative
- A comparison table of what is preserved and what is not in the naive and the proposed approach would be nice ,negative
- In the abstract  it is not clear that your are generating RRML from RML ,negative
The percentages in Table  are not clear  as they do not add up ,negative
That should be clarified in the caption ,negative
- xRRML is also relevant work that should be mentioned ,negative
Minor comments- The challenges are not aligned with the ones in the table  i e ,negative
different names and different order  which hinders readability ,negative
” is a weird sentence  appropriate for what?,negative
I'd rephrase ,negative
- The sentence is unclear ,negative
- Although it does help reading  the introduction and motivating example section could do with a bit less repetition  ,negative
Consider shortening the intro as well (it is quite long)  maybe by only mentioning the challenges is the motivating example ,negative
The research content of the paper is rather shallow ,negative
Hence  the paper is not self-contained as far as presenting the application of the claimed method to a more elaborate case ,negative
The presented work is mostly synthetic in nature in the sense that it combines prior proposals ,negative
I'm not convinced that the approach can be applied systematically ,negative
It seems to be way too specific and subsumed by prior published works that deal with a broader variety of data ,negative
Even if the approach can be described in a more abstract manner in the form of a methodology that can be described at the conceptual level  the presentation provided by the authors is far from that ,negative
Furthermore  the evaluation of the proposed approach is not presented as part of the submission ,negative
Since the paper is not breaking new ground in terms of research results  it should at least provide evidence of the expected practical impact and include an assessment of the effectiveness using the real data to which they have applied this proposal ,negative
Nonetheless  the absence of a rigorous evaluation is a shortcoming of the paper ,negative
The proposed task  scene guessing  is a novel task ,positive
Predict the possible scene or environment a given object may appear is important for robotic science ,positive
This paper is well written and easy to understand ,positive
The major weakness of this paper is the lack of novelty in the method ,negative
Scene guessing is a good task and I expect to see a very interesting method to handle this ,positive
However  what this paper presents is rather a simple method - using the pretrained word embedding to compute the semantic similarity between the names of objects and scenes ,negative
No model training or even transfer learning has been used ,negative
The embeddings of objects and scenes are purely based on the pretrained embedding models ,negative
I think publishing them in JSON format is enough for the purpose of this work ,negative
I don't see a clear need to combine this with the Linked Data Cloud ,negative
Overall  the article is clearly written and easy to follow ,positive
However  I find several limitations to its contribution  summarised as follows* The core problem is described as difficult to solve  but this seems an overstatement ,negative
The problem is defined as scene guessing” but this is a misnomer,negative
A term such as object location guessing might be clearer ,negative
In this sense  I am not claiming that is not useful to some engineering applications  but I do not see enough novelty to recognise a scientific contribution ,negative
If this is not the case  the authors should make a better case for their technique ,negative
* Considering the publication venue  the article should have at least some content related to semantic technologies ,negative
However  this work seems to adopt linked data technologies  without engaging with or contributing to them ,negative
I would even argue that there is almost no semantic content in the model  but just plain sets of symbols  without any axiom or statements about them ,negative
Moreover  the contribution to semantics in linguistic  cognitive  or philosophical terms is also hard to see ,negative
* The article uses the terms semantic similarity and relatedness interchangeably  but what the authors mean is relatedness (similarity implies a subsumption relationship) ,negative
This is a common mistake that should be addressed ,negative
Clarify ,negative
In summary  this work could be interesting but I feel it's at too early a stage to warrant publication right now ,negative
As mentioned above  there are a number of issues which do not appear to be taken into consideration such as the possibility of objects being found equally in multiple rooms  the possibility of different types of the same object (ie underspecification of the object) and a lack of clarity in the explanation of the methodology ,negative
In terms of methodology  the approach is very simple and doesn't really push any boundaries - one can easily imagine some more interesting use of semantics that adds to this ,negative
Finally  it's really not clear that the system is of practical use - the accuracy of the system does not seem very high and there's no baseline - one could imagine many possibilities for a suitable baseline to compare against  including methods adopted by others on similar tasks ,negative
There are also a number of English issues to be fixed ,negative
The related work section has some references which are not really relevant  such as the music recommendations one - I'm quite sure there are better related references that one could refer to here ,negative
In Section    it's not clear what you mean about pruning terms - how and why?,negative
In the normalisation phase  it's not clear why multi-word terms should hinder retrieval of objects in a KB ,negative
Section   is rather unclear - what do you mean by ,negative
The description of Full and Partial Coverage is confusing (and these names are a bit odd) ,negative
There is a good amount of efforts put into this paper ,positive
I have quite enjoyed reading the different sections the different decisions taken  both for building the ground truth and running and evaluating the approach are explained in good detail ,positive
The authors tackle the interesting problem of guessing the most probable scene where an object can be found ,positive
This challenge can be potentially relevant to different scenarios ,positive
However  there are some significant weaknesses and caveat that led me to score the paper as borderline ,negative
The main reasons have been already described above in the three top weaknesses section [mainly  lack of innovation in the approach  defects in the evaluation  and a simplistic definition of the task that make it difficult to link it to real use case scenarios]  but here I highlight other issues that may be addressed should this paper gets accepted for publication ,negative
- Problems with terminology regarding vectorial representation of words ,negative
- I think there are some issues in the way evaluation has been performed,negative
It seems like this way  the word embedding-based approaches wont be sufficiently penalised when an  word is found in the scene or object names ,negative
Experiments show that throughput is two times faster than state of art in the proposed setup ,positive
Strong points- The paper is really clear and easy to read ,positive
The motivations are simple  the proposal is well described  the experimentation easy to follow ,positive
Weak points - Concerning state of art  I'm surprised to not see any positioning ,negative
 relies on for hierarchies and is cited in state of art  but the positioning remains confused to me ,negative
I expect to see a comparison based on time and memory complexities ,negative
- The paper analyzes the complexity in time but not in space ,negative
This is not coherent ,negative
I expect to see what is the worst case memory complexity and a comparison ,negative
- Concerning experimentations  I’m not convinced by the setup ,negative
How the system behaves with more complex queries involving many types with hierarchies?,negative
How the system behaves when the number of queries increases?,negative
- I’m not convinced,negative
The response is well structured and addresses the issues of the reviews ,positive
I don't see also the many filters that need to be evaluated with approach ,negative
The two approaches look very close to me and the trade-off are not crystal clear  on the algorithmic part and on the experiments ,negative
/ Concerning evaluation  i'm still not convinced by the single query ,negative
The paper is well written and pleasant to read ,positive
I enjoyed reading this paper ,positive
The paper handles an important problem related to reasoning in RDF stream processing ,positive
The main contributions are a data structure for efficient lookup of the parent classes for a specific class in the hierarchy and an algorithm for querying hierarchical classes encoded in the proposed data structure ,positive
Related work is detailed in section   it seems to be complete ,positive
The only thing  I do not see why the vector representation of LiteMat is a problem?,negative
The results show that  outperforms competitors in term of maximum throughput ,positive
However  a clear definition of throughput is not given in this section ,negative
Moreover  in the setup  only one query is used ,negative
I believe one query is not sufficient for evaluating the throughput of the proposal ,negative
Again  this is not significant because of the poor experimental setup ,negative
I believe this needs more elaboration ,negative
This could be an interesting perspective of this work ,positive
Minor remarksSection  is missed in the paper organization ,negative
It is strange to see two conclusions section in the paper ,negative
In summary  the paper is well written and proposes simple and interesting ideas,positive
  however  the contribution is minor and the evaluation is very weak,negative
Overall the paper is well-written,positive
Perhaps the authors could clarify the following- Section  focuses on RDFS entailment rules  and   but it was unclear to me why they are being discussed ,negative
- The complexity analysis of the algorithm seems incomplete ,negative
But the preprocessing involved in constructing these look-up tables is ignored ,negative
line  and  in Algorithm  are listed as pre-processing  but both are associated with the quadratic time complexity ,negative
The paper is appropriate for ESWC ,positive
The paper motivates why the problem of throughput is relevant  but the impact of the solution is hard to predict ,negative
If  is an optimisation that only works on pure subsumption queries following the pattern of Listing    it might still be useful to incorporate into all RSP engines as an optimisation ,negative
However  if my suspicions regarding the complexity analysis are correct  then the benefits would ) only hold if pre-processing is done once for one ontology and one query  and ) would induce a large storage requirement  especially when considering large-scale ontologies like DBPedia ,negative
Nevertheless  disregarding performance claims and assumptions  the presented approach is sound insofar as it demonstrably speeds up subsumption queries once pre-processing has been performed ,positive
The evaluation covers a good subset of RSP engines  although the meaningfulness of the comparison is questionable given the generality of the RSP engines versus the specificity of C-Sprite when exclusively considering subsumption queries ,positive
Being more clear about the relationship between Sections  and  would also help ,negative
Finally  the authors provide good coverage of related works ,positive
The biggest issue with this paper is however that the analysis of appears to be lacking  making it hard to determine the breadth of its applicability ,negative
Minor errors in the paper- Section  is missing from the paper organisation ,negative
- Definition  is incorrect ,negative
In my view  if the ontology and queries are fixed  using a query language seems like overkill ,negative
Weak points- The paper mainly describes a system and not a model ,negative
However  the expected properties of the assembly are not really defined ,negative
- The Actor model is proposed but why not a dataflow model?,negative
I expect more motivations for choosing this model ,negative
- There is no complexity analysis in term of messages/traffic ,negative
It raises some doubts about the scalability of the system that are not addressed in the experiments ,negative
- The experimentation mainly stresses the underlying stream engines and not really the proposal itself ,negative
The actor model description is succinct and does not describe some specific problems related to actor model and stream processing ,negative
If the “decentralized web of stream” is very appealing  I expect to see how it can differ from a distributed stream platform and what new scientific problems are raised ,negative
I think there are also problems with correctness  congestion  fault-tolerance  security  incentives that are also very important ,negative
In the experimentations  it is not crystal clear when a message is consumed ,negative
I don’t understand what is the objective of these experiments showing that WASP wrapper has low overhead?,negative
Maybe experiments should focus on the cost in communications of the proposed algorithms costs of the discovery  join and leave etc   ,negative
It is not mature enough ,negative
Typo - memebrship work- Each spitting ?,negative
The answer is nicely written ,positive
I understand that this paper is a first step in an interesting research direction ,positive
However  the nature of the first step is a problem for me- If authors want to describe a vision of a decentralized of a web of streams  then I expect to see a definition of this decentralization  then a set of scientific problems to explore to make this decentralization successful (as a vision paper) ,negative
Unfortunately  the paper is too focused on interoperability problems to provide a global vision ,negative
I encourage authors to improve their vision of a decentralized web of streams with a clear positioning with a large state of the art  highlighting a scientific problem and providing a first abstract model ,negative
The paper addresses the important issue of decentralized processing of web streams  which could either be produced by tools for triple transformation such as TripleWave or by stream processing/reasoning engines ,negative
The authors identified correctly that for static linked data there is good coverage of recommendations  best practices  etc ,positive
The main contributions of this paper are() The authors lift the server-centric RDF stream processing/reasoning (RSP) paradigm to the actor model by introducing Web Stream Actors (WASPs) that are a triple <id  state  behavior>  and have the main purpose of publishing and (obviously) processing streams ,positive
This is a central and important contribution for the community ,positive
The topic of the paper including the main ideas are appealing and important for the RSP community ,positive
We believe that the paper reads fairly well and is suited for the conference ,positive
For a research paper  a discussion of different network topologies should be included and more details on WASPS/SWARMS should be given (see below) ,negative
Further  a real-world problem regarding describing its use and could be included ,negative
we have some reservations regarding the clarity of some parts- In our opinion  this paper reads more as a tool/resource paper ,negative
- Clarifications regarding (a) the state/behavior of WASPS and (b) the broker profile in a SWARM are needed ,negative
The authors describe this part very sketchy ,negative
For instance in (a)  they introduce a sort of effect based on continuous operators (probably taken from CQL)  but do not outline what kind of continuous operators (e g   LTL temporal operators) are allowed ,negative
In (b)  the authors miss to comment on message queuing  routing  reliability and security  which should be covered by a message broker ,negative
- In their SWJ paper (http//www semantic-web-journal net/content/decentralized-messaging-rdf-stream-processing-web  under review)  the authors put more emphasis on LDN  now the protocol seems just a way to implement Sting ,negative
- Algorithm  needs also more clarification  they have in line  payload and capability management  but this is no further described in the paper ,negative
Typos- p  par Each spitting The experiment     -> For each splitting  the    - There is a Figure   but no reference to it!,negative
---- After rebutall ----The authors gave a good and comprehensive update on their intended improvement of the paper (thanks!) ,positive
They have addressed most of my concerns to my satisfaction  hence I increased my score to accept ,positive
I believe that the research question is very important to our community  and it should be presented / discussed at ESWC  even if the paper would qualify better as a tool/resource paper ,positive
However  I point to three improvements that are crucial for a better understanding of the paper - Section  is the weak point of the paper  and this part should be improved by (a) having a (running) real-world example  and (b) clearly describe how state and behavior are related  and define both more thoroughly taking the mentioned continuous (e g   RSP-QL) operators into account ,negative
- Section  should have a paragraph on possible topologies and constraints (i e  acyclicity)  which could be applied to the network ),negative
- The extension regarding different time models and a consensus mechanism for (partial/full) synchronization is an interesting topic by itself ,positive
The research question discussed in this paper is important for the Semantic Webcommunity and I believe that this work makes important first steps to answerit ,positive
